source,target,relationship,source_type,target_type
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,Boston.certrequest@marsh.com,has emailMentioned,Pages,emailMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,Robert M. Currey & Associates,has peopleMentioned,Pages,peopleMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,Liquor Liability,has peopleMentioned,Pages,peopleMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,AUTOS AUTOS,has peopleMentioned,Pages,peopleMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,MARSH USA,has companiesMentioned,Pages,companiesMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,Lexington Insurance Company INSURED N/A,has companiesMentioned,Pages,companiesMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,MA 02108,has companiesMentioned,Pages,companiesMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,UMBRELLA LIAB,has companiesMentioned,Pages,companiesMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,Marsh USA Inc. City,has companiesMentioned,Pages,companiesMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,Fireman’s Fund Insurance Co � POLICY,has companiesMentioned,Pages,companiesMentioned
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,1161029.170bcfe9716b21631faca733649bd3418bcc7748,has parent,Pages,parent
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,Hotel Felix_City of ChicagoDOBA_LIAB COI_19-20.pdf,has fileName,Pages,fileName
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,74391,has fileSize,Pages,fileSize
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,application/pdf,has mimeType,Pages,mimeType
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,1161029.170bcfe9716b21631faca733649bd3418bcc7748,has ancestors,Pages,parent
56f3848d4108bffac3d96e5211b2b12c8567747e.39630c89e583b23d0c59cce9fc18e5b14e20e970,b1d8a127bf1d0fe55d16c4c8385fe22726e59e65,has contentHash,Pages,contentHash
7f8c31aa58c06030d9458e095c9ee32df4c8aded.913245d8a1a983e97c167211dcbbe03802bd0e4b,World Health Organization,has companiesMentioned,Pages,companiesMentioned
7f8c31aa58c06030d9458e095c9ee32df4c8aded.913245d8a1a983e97c167211dcbbe03802bd0e4b,1161095.b0665847b827713a6fb7a663ce9fa14d20fa22c6,has parent,Pages,parent
7f8c31aa58c06030d9458e095c9ee32df4c8aded.913245d8a1a983e97c167211dcbbe03802bd0e4b,CDC FAA airline guidance.pdf,has fileName,Pages,fileName
7f8c31aa58c06030d9458e095c9ee32df4c8aded.913245d8a1a983e97c167211dcbbe03802bd0e4b,101336,has fileSize,Pages,fileSize
7f8c31aa58c06030d9458e095c9ee32df4c8aded.913245d8a1a983e97c167211dcbbe03802bd0e4b,application/pdf,has mimeType,Pages,mimeType
7f8c31aa58c06030d9458e095c9ee32df4c8aded.913245d8a1a983e97c167211dcbbe03802bd0e4b,1161095.b0665847b827713a6fb7a663ce9fa14d20fa22c6,has ancestors,Pages,parent
7f8c31aa58c06030d9458e095c9ee32df4c8aded.913245d8a1a983e97c167211dcbbe03802bd0e4b,fef0f239d0aeadc345d916703c16d4f4a2bf3d6d,has contentHash,Pages,contentHash
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,Administrator,has author,Pages,author
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,"Owen, Christopher",has author,Pages,author
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,City of Chicago,has author,Pages,author
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has parent,Pages,parent
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,25285bbb7a2e55db9ebfc684b797ade97c412669,has pdfHash,Pages,pdfHash
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,DRAFT Drug and Alcohol Policy and Procedures - 9.23.19.doc,has fileName,Pages,fileName
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,82944,has fileSize,Pages,fileSize
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,application/vnd.ms-word,has mimeType,Pages,mimeType
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has ancestors,Pages,parent
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,Microsoft Office Word,has generator,Pages,generator
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,2019-09-23T15:40:09,has modifiedAt,Pages,modifiedAt
1838597a4a02148d579fa13c8602cf9110a63f18.bd75d0e155bd4643eec1b2b54e9770fd0e521921,7117f77c6d10678c703c1f1b93859c8d2badb7b0,has contentHash,Pages,contentHash
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,a. Random,has peopleMentioned,Pages,peopleMentioned
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,Scope III,has peopleMentioned,Pages,peopleMentioned
